Area,Location,No. of Bedrooms,Price
400,Airoli,1,6200000
1000,Airoli,2,9500000
1245,Airoli,2,14900000
1183,Airoli,2,14000000
1245,Airoli,2,3600000
495,Airoli,1,6400000
495,Airoli,1,3800000
1050,Airoli,2,15500000
600,Airoli,1,7000000
600,Airoli,1,6694000
650,Airoli,1,7600000
650,Airoli,1,7731000
650,Airoli,1,9500000
780,Airoli,1,6600000
640,Airoli,1,7800000
660,Airoli,1,7800000
660,Airoli,1,5900000
666,Airoli,1,5900000
666,Airoli,1,7500000
1050,Airoli,1,7000000
700,Airoli,1,7000000
680,Airoli,1,7000000
680,Airoli,1,40000000
1245,Airoli,2,4000000
650,Airoli,1,9000000
675,Airoli,1,2400000
527,Airoli,2,17500000
781,Airoli,3,2500000
600,Airoli,1,16800000
952,Airoli,2,139500000
660,Airoli,1,30000000
600,Airoli,1,8700000
873,Airoli,2,7000000
610,Airoli,1,4600000
450,Airoli,1,5500000
610,Airoli,1,4600000
675,Ambarnath,1,2548000
660,Ambarnath,1,2492000
640,Ambarnath,1,2418000
673,Ambarnath,1,2650000
730,Ambarnath,1,3874000
690,Ambarnath,1,2300000
466,Ambarnath,1,5800000
595,Ambarnath,1,2565000
994,Ambarnath,2,3954999
993,Ambarnath,2,3415000
925,Ambarnath,2,3410000
918,Ambarnath,2,2300000
650,Ambarnath,1,18500000
1010,Ambarnath,2,14500000
690,Ambarnath,1,3300000
690,Ambarnath,1,16500000
900,Ambarnath,2,13899999
625,Ambarnath,1,3800000
725,Ambarnath,1,4600000
827,Ambarnath,1,8600000
690,Ambarnath,1,2400000
634,Ambarnath,1,2374000
634,Ambarnath,1,2374000
634,Ambarnath,1,21500000
728,Ambarnath,1,11000000
910,Ambarnath,2,2450000
550,Ambarnath,1,3100000
709,Ambarnath,1,24000000
797,Ambarnath,1,27500000
630,Ambarnath,1,2576000
644,Ambarnath,1,2520000
709,Ambarnath,1,2520000
630,Ambarnath,1,2576000
644,Ambarnath,1,3064000
630,Ambarnath,1,3188000
630,Ambarnath,1,19000000
644,Ambarnath,1,19000000
644,Ambarnath,1,25000000
630,Ambarnath,1,30000000
766,Ambarnath,1,4800000
797,Ambarnath,1,8500000
1225,Andheri,3,8500000
1100,Andheri,2,18000000
1000,Andheri,2,14000000
1480,Andheri,3,30000000
650,Andheri,1,17500000
3025,Andheri,4,65300000
1295,Andheri,3,38700000
620,Andheri,2,24000000
1000,Andheri,2,8725000
620,Andheri,2,24000000
1000,Andheri,2,8725000
1120,Andheri,2,21800000
1450,Andheri,3,22200000
900,Andheri,3,10500000
1040,Andheri,2,9000000
1114,Andheri,3,17000000
1260,Andheri,2,20000000
2016,Andheri,3,33400000
1050,Andheri,2,12000000
655,Andheri,2,11100000
922,Andheri,2,17500000
1050,Andheri,1,16500000
1020,Andheri,1,14800000
915,Andheri,2,15000000
915,Andheri,2,18000000
1020,Andheri,2,4500000
650,Andheri,2,14700000
620,Andheri,1,15000000
950,Andheri,2,32500000
1356,Andheri,3,5994000
1080,Andheri,2,19700000
