Neighborhood,TotalFloorSpace,BedroomsCount,ParkingsAvailable,BalconyArea,SalePrice
1,1710,3,2,0,208500
2,1262,3,2,298,181500
1,1786,3,2,0,223500
3,1717,3,3,0,140000
4,2198,4,3,192,250000
5,1362,1,2,40,143000
6,1694,3,2,255,307000
7,2090,3,2,235,200000
8,1774,2,2,90,129900
9,1077,2,1,0,118000
10,1040,3,1,0,129500
11,2324,4,3,147,345000
10,912,2,1,140,144000
1,1494,3,3,160,279500
12,1253,2,1,0,157000
9,854,2,2,48,132000
12,1004,2,2,0,149000
10,1296,2,2,0,90000
13,1114,3,2,0,159000
12,1339,3,1,0,139000
11,2376,4,3,240,325300
14,1108,3,1,0,139400
1,1795,3,2,171,230000
15,1060,3,2,100,129900
10,1060,3,1,406,154000
11,1600,3,3,0,256300
12,900,3,2,222,134800
11,1704,3,3,0,306000
12,1600,2,1,288,207500
9,520,1,1,49,68500
14,1317,3,1,0,40000
10,1228,3,1,0,149350
1,1234,3,2,0,179900
12,1700,4,2,0,165500
11,1561,2,2,203,277500
11,2452,4,3,113,309000
1,1097,3,2,392,145000
12,1297,3,2,0,153000
12,1057,3,1,0,109000
16,1152,2,0,0,82000
12,1324,3,2,0,160000
17,1328,2,1,0,170000
13,884,2,2,240,144000
1,938,3,1,145,130250
12,1150,3,1,0,141000
11,1752,2,2,196,319900
5,2149,1,2,168,239686
6,1656,3,3,0,249700
8,1452,2,0,0,113000
10,955,3,1,0,127000
18,1470,3,2,0,177000
9,1176,3,2,112,114500
14,816,2,2,106,110000
2,1842,0,3,857,385000
12,1360,3,2,0,130000
12,1425,3,2,0,180500
6,1739,3,2,115,172500
1,1720,3,2,0,196500
19,2945,3,3,192,438780
1,780,2,1,196,124900
13,1158,3,2,0,158000
14,1111,3,1,0,101000
11,1370,2,2,120,202500
8,1710,3,2,12,140000
1,2034,3,2,576,219500
11,2473,4,3,192,317000
12,2207,3,2,301,180000
1,1479,3,2,144,226000
8,747,2,1,0,80000
20,2287,3,2,0,225000
12,2223,3,2,300,244000
5,845,2,2,0,129500
18,1718,3,2,0,185000
12,1086,3,2,0,144900
8,1605,3,1,0,107400
15,988,2,1,120,91000
12,952,2,1,0,135750
9,1285,2,1,0,127000
10,1768,4,0,0,136500
8,1230,2,2,74,110000
12,2142,4,1,0,193500
5,1337,2,2,0,153500
6,1563,3,3,144,245000
12,1065,3,2,74,126500
18,1474,3,2,120,168500
4,2417,4,2,127,260000
18,1560,3,2,100,174000
6,1224,2,2,0,164500
14,1526,2,0,0,85000
1,990,3,0,0,123600
12,1040,2,2,0,109900
12,1235,2,2,0,98600
3,964,2,2,0,163500
8,2291,4,2,0,133900
1,1786,3,2,0,204750
18,1470,3,2,232,185000
1,1588,3,2,158,214000
16,960,3,1,120,94750
16,835,2,1,0,83000
12,1225,3,0,352,128950
7,1610,3,2,168,205000
13,1732,3,2,192,178000
13,1535,4,2,0,118964
1,1226,3,3,0,198900
14,1818,4,1,0,169500
6,1992,3,2,140,250000
8,1047,2,1,0,100000
8,789,2,1,0,115000
14,1517,3,0,0,115000
7,1844,3,2,0,190000
16,1855,4,1,182,136900
18,1430,3,2,180,180000
1,2696,4,3,120,383970
3,2259,3,2,166,217000
3,2320,3,1,224,259500
6,1458,2,2,0,176000
10,1092,3,1,0,139000
16,1125,2,2,80,155000
13,3222,5,3,367,320000
1,1456,3,2,0,163990
20,988,1,2,0,180000
14,1123,3,1,0,100000
12,1080,3,1,0,136000
13,1199,2,2,0,153900
7,1586,3,2,192,181000
14,754,2,0,53,84500
21,958,2,2,0,128000
8,840,3,0,0,87000
12,1348,3,2,188,155000
12,1053,3,2,0,150000
12,2157,4,2,105,226000
18,2054,3,2,24,244000
12,1327,3,2,0,150750
17,1296,2,2,192,220000
10,1721,3,2,0,180000
7,1682,3,2,98,174000
12,1214,3,1,0,143000
5,1959,5,3,0,171000
1,1852,3,3,224,230000
1,1764,3,2,276,231500
12,864,3,0,0,115000
1,1734,3,2,160,260000
12,1385,4,2,0,166000
1,1501,3,2,144,204000
10,1728,6,2,0,125000
16,1709,3,2,0,130000
9,875,2,1,48,105000
18,2035,3,2,144,222500
13,1080,3,0,0,141000
9,1344,3,1,200,115000
1,969,3,2,0,122000
11,1710,2,3,0,372402
7,1993,4,2,0,190000
20,1252,1,2,409,235000
8,1200,4,1,0,125000
16,1096,2,0,0,79000
12,1040,2,2,0,109500
17,1968,4,3,0,269500
6,1947,3,2,0,254900
18,2462,4,2,239,320000
2,1232,3,2,0,162500
11,2668,3,3,400,412500
11,1541,3,2,0,220000
8,882,1,0,0,103200
8,1616,3,1,0,152000
16,1355,4,0,140,127500
20,1867,2,1,476,190000
11,2161,3,3,178,325624
18,1720,3,2,100,183500
17,1707,2,2,574,228000
8,1382,2,2,237,128500
12,1656,3,2,210,215000
19,1767,2,2,441,239000
12,1362,3,2,0,163000
17,1651,3,2,192,184000
16,2158,4,2,0,243000
20,2060,4,2,0,211000
10,1920,4,2,0,172500
19,2234,1,3,0,501837
8,968,2,2,0,100000
6,1525,3,2,0,177000
3,1802,4,1,0,200100
16,1340,3,1,116,120000
8,2082,3,2,280,200000
9,1252,3,2,104,127000
8,3608,4,3,0,475000
5,1217,3,2,168,173000
8,1656,3,1,0,135000
13,1224,2,2,120,153337
19,1593,0,2,0,286000
3,2727,3,2,0,315000
12,1479,4,2,0,184000
1,1431,3,2,0,192000
16,1709,3,2,0,130000
1,864,3,1,0,127000
21,1456,3,2,87,148500
6,1726,3,3,171,311872
12,3112,4,2,0,235000
8,2229,5,0,0,104000
11,1713,3,3,0,274900
16,1121,2,2,132,140000
5,1279,3,2,238,171500
8,1310,2,1,0,112000
1,848,1,2,149,149000
8,1284,2,1,0,110000
18,1442,3,2,0,180500
10,1696,3,1,0,143900
12,1100,3,1,355,141000
13,2062,3,2,60,277000
12,1092,3,2,0,145000
16,864,2,0,0,98000
16,1212,3,2,100,186000
6,1852,3,2,168,252678
1,990,3,2,224,156000
1,1392,3,1,0,161750
12,1236,2,1,0,134450
1,1436,3,2,139,210000
8,1328,3,1,0,107000
3,1954,3,2,0,311500
22,1248,2,2,108,167240
1,1498,2,2,351,204900
18,2267,4,2,120,200000
7,1552,3,2,209,179900
12,864,2,2,216,97000
11,2392,3,3,248,386250
23,1302,3,1,0,112000
4,2520,4,3,224,290000
23,987,2,1,0,106000
10,912,3,1,0,125000
22,1555,2,2,143,192500
12,1194,3,1,0,148000
4,2794,4,3,0,403000
23,987,2,1,0,94500
1,894,3,1,365,128200
18,1960,4,2,288,216500
23,987,2,1,0,89500
1,1414,3,2,132,185500
13,1744,3,2,370,194500
11,1694,3,3,168,318000
16,1487,3,1,0,113000
6,1566,3,2,144,262500
8,866,2,0,58,110500
8,1440,3,1,0,79000
13,1217,3,1,0,120000
13,2110,3,2,0,205000
7,1872,3,2,197,241500
8,1928,4,1,0,137000
12,1375,2,2,0,140000
1,1668,3,2,144,180000
20,2144,4,2,0,277000
9,1306,3,0,263,76500
3,1625,2,2,123,235000
13,1640,3,2,138,173000
12,1302,3,1,333,158000
12,1314,3,1,250,145000
18,2291,4,2,192,230000
6,1728,3,2,216,207500
1,1604,3,2,123,220000
1,1792,3,2,0,231500
8,882,2,1,0,97000
12,1382,3,2,0,176000
1,2574,3,3,0,276000
10,1212,3,2,292,151000
8,1316,3,2,0,130000
8,764,2,2,0,73000
7,1422,3,2,276,175500
18,1511,3,2,95,185000
24,2192,4,1,262,179500
14,778,2,1,0,120500
16,1113,3,1,370,148000
6,1939,3,3,192,266000
20,1363,2,2,81,241500
4,2270,4,3,132,290000
12,1632,3,1,289,139000
5,816,2,1,168,124500
9,1548,3,2,74,205000
5,1560,3,2,100,201000
18,864,2,2,0,141000
11,2121,3,3,124,415298
20,2022,4,2,288,192000
13,1982,3,2,0,228500
6,1262,2,2,0,185000
11,1314,2,2,172,207500
6,1468,3,3,210,244600
13,1575,2,2,0,179200
6,1250,2,2,0,164700
12,1734,3,2,0,159000
12,858,3,0,0,88000
10,900,3,1,0,122000
9,1396,3,1,0,153575
1,1919,3,2,0,233230
24,1716,6,0,0,135900
16,1716,3,1,0,131000
7,2263,3,2,0,235000
12,1644,3,2,110,167000
5,1003,3,2,120,142500
14,1558,4,1,289,152000
6,1950,3,2,0,239000
7,1743,3,2,224,175000
3,1152,3,1,0,158500
3,1336,2,1,0,157000
1,2452,4,2,208,267000
1,1541,3,3,468,205000
1,894,3,2,256,149900
8,3493,3,3,302,295000
1,2000,3,3,168,305900
13,2243,4,3,127,225000
14,1406,3,0,0,89500
16,861,1,2,158,82500
11,1944,3,3,208,360000
18,1501,3,2,190,165600
12,972,2,1,0,132000
8,1118,3,2,0,119900
17,2036,3,2,0,375000
8,1641,3,2,0,178000
18,1432,3,2,100,188500
7,2353,4,2,288,260000
6,1959,3,3,208,270000
4,2646,4,3,340,260000
7,1472,3,2,233,187500
11,2596,4,3,240,342643
11,2468,4,3,184,354000
13,2730,4,2,201,301000
8,1163,3,1,142,126175
12,2978,5,2,240,242000
14,803,2,2,0,87000
2,1719,1,2,122,324000
12,1383,3,1,0,145250
9,2134,5,2,0,214500
14,1192,3,1,0,78000
12,1728,6,1,155,119000
12,1056,3,1,0,139000
11,1629,3,3,0,284000
11,1358,2,2,192,207000
18,1638,3,2,100,192000
17,1786,3,2,670,228950
19,1922,3,3,178,377426
1,1536,3,2,192,214000
7,1621,3,2,108,202500
12,1215,3,1,0,155000
17,1908,4,2,135,202900
13,841,2,1,250,82000
12,1040,2,2,0,87500
11,1684,2,2,495,266000
15,1112,3,1,182,85000
9,1577,3,1,0,140200
12,958,2,1,0,151500
12,1478,3,2,0,157500
11,1626,2,2,0,154000
11,2728,4,3,0,437154
11,1869,2,2,210,318061
20,1453,2,2,0,190000
16,1111,3,1,48,95000
8,720,2,2,106,105900
24,1595,2,1,0,140000
1,1200,3,2,0,177500
18,1167,3,2,120,173000
15,1142,3,2,536,134000
20,1352,3,1,168,130000
4,1924,3,2,208,280000
5,912,2,2,0,156000
9,1505,3,1,0,145000
16,1922,4,2,0,198500
23,987,2,1,250,118000
7,1574,3,2,306,190000
14,1344,3,1,0,147000
12,1394,3,2,0,159000
12,1431,3,1,64,165000
12,1268,2,1,0,132000
12,1287,3,2,364,162000
18,1664,3,2,100,172400
20,1588,4,2,0,134432
13,752,2,1,353,125000
12,1319,3,1,66,123000
1,1928,4,2,100,219500
16,904,1,0,0,61000
1,914,2,2,0,148000
6,2466,4,2,159,340000
19,1856,1,3,113,394432
18,1800,3,2,100,179000
24,1691,3,1,0,127000
6,1301,2,2,216,187750
1,1797,3,2,144,213500
13,784,2,2,0,76000
20,1953,3,2,216,240000
22,1269,2,2,146,192000
16,1184,5,0,0,81000
16,1125,3,1,296,125000
1,1479,3,2,120,191000
11,2332,3,3,196,426000
16,1367,4,1,0,119000
5,1961,3,2,125,215000
12,882,3,1,0,106500
9,788,2,0,0,100000
8,1034,2,1,0,109000
16,1144,3,1,44,129000
1,894,2,2,215,123000
12,1812,4,1,0,169500
14,1077,2,1,0,67000
6,1550,2,2,0,241000
2,1288,1,2,120,245500
1,1310,3,2,0,164990
10,672,2,1,168,108000
4,2263,4,2,144,258000
18,1572,3,2,0,168000
10,1620,3,2,120,150000
24,1639,3,1,0,115000
3,1680,4,1,0,177000
11,2172,3,3,192,280000
6,2078,3,3,0,339750
16,1276,3,1,0,60000
18,1056,3,2,264,145000
6,1478,2,2,0,222000
8,1028,2,2,0,115000
13,2097,3,3,196,228000
18,1340,3,2,100,181134
10,1400,3,2,0,149500
3,2624,4,3,0,239000
16,1134,3,1,0,126000
12,1056,3,1,0,142000
5,1344,2,4,0,206300
7,1602,3,2,240,215000
5,988,2,2,0,113000
4,2630,4,3,0,315000
12,1196,2,1,0,139000
8,1389,3,1,0,135000
13,1644,2,2,80,275000
12,907,3,1,0,109008
1,1208,2,2,105,195400
17,1412,3,2,0,175000
23,987,2,1,0,85400
8,1198,4,0,0,79900
23,1365,2,2,240,122500
18,1604,3,2,0,181000
15,630,1,0,88,81000
1,1661,3,2,158,212000
8,1118,2,2,0,116000
9,904,2,1,0,119000
3,694,2,1,0,90350
16,1196,3,2,0,110000
11,2402,2,3,0,555000
16,1440,4,0,0,118000
9,1573,3,2,0,162900
22,1258,2,3,144,172500
1,1908,4,2,144,210000
16,1689,3,2,0,127500
12,1888,2,2,0,190000
18,1886,4,2,89,199900
14,1376,3,1,0,119500
8,1183,2,1,0,120000
8,813,2,1,0,110000
20,1533,2,2,200,280000
17,1756,3,2,144,204000
6,1590,3,2,0,210000
5,1728,4,2,0,188000
7,1242,3,2,0,175500
8,1344,4,3,0,98000
20,1663,2,2,224,256000
8,1666,3,1,192,161000
9,1203,3,1,0,110000
