Area,Location,Bedrooms,Price
400,1,1,6200000 
1000,1,2,9500000 
1245,1,2,14900000 
1183,1,2,14000000
1245,1,2,3600000
495,1,1,6400000
495,1,1,3800000
1050,1,2,15500000
600,1,1,7000000
600,1,1,6694000
650,1,1,7600000
650,1,1,7731000
650,1,1,9500000
780,1,1,6600000
640,1,1,7800000
660,1,1,7800000
660,1,1,5900000
666,1,1,5900000
666,1,1,7500000
1050,1,1,7000000
700,1,1,7000000
680,1,1,7000000
680,1,1,40000000
1245,1,2,4000000
650,1,1,9000000
675,1,1,2400000
527,1,2,17500000
781,1,3,2500000
600,1,1,16800000
952,1,2,139500000
660,1,1,30000000
600,1,1,8700000
873,1,2,7000000
610,1,1,4600000
450,1,1,5500000
610,1,1,4600000
675,2,1,2548000
660,2,1,2492000
640,2,1,2418000
673,2,1,2650000
730,2,1,3874000
690,2,1,2300000
466,2,1,5800000
595,2,1,2565000
994,2,2,3954999
993,2,2,3415000
925,2,2,3410000
918,2,2,2300000
650,2,1,18500000
1010,2,2,14500000
690,2,1,3300000
690,2,1,16500000
900,2,2,13899999
625,2,1,3800000
725,2,1,4600000
827,2,1,8600000
690,2,1,2400000
634,2,1,2374000
634,2,1,2374000
634,2,1,21500000
728,2,1,11000000
910,2,2,2450000
550,2,1,3100000
709,2,1,24000000
797,2,1,27500000
630,2,1,2576000
644,2,1,2520000
709,2,1,2520000
630,2,1,2576000
644,2,1,3064000
630,2,1,3188000
630,2,1,19000000
644,2,1,19000000
644,2,1,25000000
630,2,1,30000000
766,2,1,4800000
797,2,1,8500000
1225,3,3,8500000
1100,3,2,18000000
1000,3,2,14000000
1480,3,3,30000000
650,3,1,17500000
3025,3,4,65300000
1295,3,3,38700000
620,3,2,24000000
1000,3,2,8725000
620,3,2,24000000
1000,3,2,8725000
1120,3,2,21800000
1450,3,3,22200000
900,3,3,10500000
1040,3,2,9000000
1114,3,3,17000000
1260,3,2,20000000
2016,3,3,33400000
1050,3,2,12000000
655,3,2,11100000
922,3,2,17500000
1050,3,1,16500000
1020,3,1,14800000
915,3,2,15000000
915,3,2,18000000
1020,3,2,4500000
650,3,2,14700000
620,3,1,15000000
950,3,2,32500000
1356,3,3,5994000
1080,3,2,19700000
1356,3,2,26500000
903,3,2,2500000
750,3,2,13500000
750,3,2,15000000
1150,3,2,22000000
1000,3,2,22000000
1300,3,3,35000000
550,3,1,12500000
600,3,1,8100000
850,3,2,11200000
900,3,2,18000000
300,3,1,3700000
300,3,1,3400000
300,3,1,7500000
859,3,3,25200000
969,3,3,18900000
1200,3,3,67000000
1300,3,3,69900000
1050,3,2,16100000
670,3,2,19000000
890,3,3,22000000
1100,3,3,7290000
300,3,1,3500000
1100,3,2,8000000
700,3,2,4300000
1450,3,3,10600000
1450,3,3,2500000
780,3,2,29000000
900,3,2,28000000
1113,3,3,25500000
742,3,2,21400000
426,3,1,21800000
451,3,1,21700000
1124,3,3,33100000
878,3,3,21800000
678,3,2,25400000
716,3,2,25600000
902,3,2,18500000
850,3,2,21000000
902,3,2,42000000
850,3,2,7500000
560,3,1,22000000
1065,3,2,14200000
550,3,1,13500000
550,3,1,18100000
650,3,1,9500000
1065,3,2,14200000
850,3,2,11500000
1150,3,2,2850000
2500,3,6,8000000
1325,3,3,3750000
1113,3,3,32500000
742,3,2,21400000
426,3,1,11500000
451,3,1,21800000
1124,3,3,47900000
878,3,3,10300000
678,3,2,17000000
716,3,2,15100000
850,3,2,17900000
700,3,2,20000000
802,3,1,12000000
652,3,1,36500000
1350,3,2,12400000
650,3,1,17900000
1020,3,2,15000000
1050,3,2,17700000
864,3,1,12100000
1950,3,3,13000000
650,3,1,13000000
1100,3,2,11500000
300,3,1,3500000
300,3,1,4700000
300,3,1,4600000
720,3,1,4800000
900,3,2,7500000
250,3,1,47500000
475,3,1,26000000
1200,3,2,27000000
3300,3,4,110000000
997,3,2,28500000
1950,3,3,55000000
7600,3,5,3500000
1000,3,2,21000000
1361,3,2,31200000
1470,3,3,15000000
1000,3,2,12500000
2450,3,4,16299999
2450,3,4,16299999
390,3,1,17000000
723,3,1,12000000
1006,3,2,7600000
1600,3,4,110000000
2590,3,3,85000000
3733,3,4,30000000
1800,3,4,80000000
3140,3,3,4300000
3080,3,3,113400000
3780,3,4,139500000
4650,3,5,14800000
1875,3,3,75000000
1470,3,3,23900000
400,3,2,8000000
1600,3,3,25500000
1400,3,2,35500000
650,3,1,13500000
650,3,2,27000000
800,3,2,8500000
750,3,2,45000000
750,3,2,120000000
800,3,2,8500000
750,3,2,45000000
750,3,2,4500000
1550,3,3,31000000
1600,3,3,35000000
1600,3,3,10000000
1850,3,3,43000000
960,3,2,140000000
1600,3,3,37000000
1600,3,3,21500000
1166,3,3,22000000
788,3,3,22000000
788,3,3,8700000
790,3,2,19600000
1193,3,3,26500000
1250,3,2,100000000
800,3,2,17000000
1792,3,3,22500000
3000,3,4,7209999
